"";"species";"normalised.degree";"PDI";"species.specificity.index";"effective.partners";"biomes";"Host_Status"
"40";"Cnemotriccus_fuscatus";0,0952380952380952;1,64214667685256;0,982207251422333;1,09032230113482;"Cerrado";"R"
"41";"Cnemotriccus_fuscatus";0,0588235294117647;0,0126582278481013;1;1;"Mata_Atlantica";"R"
"42";"Coccyzus_melacoryphus";0,0588235294117647;0,0126582278481013;1;1;"Mata_Atlantica";"M"
"43";"Coeligena_coeligena";0,0714285714285714;0,0377358490566038;1;1;"Andinean_Forest";"R"
"44";"Coeligena_iris";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"45";"Coeligena_torquata";0,142857142857143;0,019381954523464;0,680336748115035;1,99754976001869;"Andinean_Forest";"R"
"46";"Coereba_flaveola";0,0588235294117647;0,0982142857142857;1;1;"Amazonia";"R"
"47";"Coereba_flaveola";0,0833333333333333;0,16025641025641;1;1;"Caatinga";"R"
"48";"Coereba_flaveola";0,0952380952380952;0,477011334076551;0,779734960635223;1,7515775673548;"Cerrado";"R"
"49";"Coereba_flaveola";0,235294117647059;0,461485027357041;0,646076611058649;2,64115997983986;"Mata_Atlantica";"R"
"50";"Colibri_thalassinus";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"51";"Columbina_minuta";0,333333333333333;0,846943817052513;0,581372711892388;2,8682381707829;"Caatinga";"R"
"52";"Columbina_minuta";0,0476190476190476;0,0144927536231884;1;1;"Cerrado";"R"
"53";"Columbina_minuta";0,0588235294117647;0,0833333333333333;1;1;"Mata_Atlantica";"R"
"54";"Columbina_passerina";0,0588235294117647;0,916666666666667;1;1;"Amazonia";"R"
"55";"Columbina_passerina";0,176470588235294;0,0790336635479728;0,610355355787208;2,68070153417128;"Mata_Atlantica";"R"
"56";"Columbina_picui";0,166666666666667;0,059864953886693;0,726461860037641;1,8672339474207;"Caatinga";"R"
"57";"Columbina_picui";0,0476190476190476;0,125;1;1;"Cerrado";"R"
"58";"Columbina_squammata";0,0476190476190476;0,16025641025641;1;1;"Cerrado";"R"
"59";"Columbina_talpacoti";0,0476190476190476;0,205446906035141;1;1;"Cerrado";"R"
"60";"Columbina_talpacoti";0,0588235294117647;0,5;1;1;"Mata_Atlantica";"R"
"61";"Conopophaga_aurita";0,0588235294117647;0,1;1;1;"Amazonia";"R"
"62";"Conopophaga_lineata";0,0588235294117647;0,571428571428571;1;1;"Mata_Atlantica";"R"
"63";"Conopophaga_melanops";0,0588235294117647;0,0588235294117647;1;1;"Mata_Atlantica";"R"
"64";"Coryphospingus_cucullatus";0,0952380952380952;0,197434085522321;0,694994029896159;1,9847494334274;"Cerrado";"R"
"65";"Coryphospingus_pileatus";0,25;0,599244302934143;0,596612138895293;2,68528161384233;"Caatinga";"R"
"66";"Coryphospingus_pileatus";0,0952380952380952;0,0936688311688312;0,689770474761293;1,99850817046897;"Cerrado";"R"
"67";"Cranioleuca_antisiensis";0,0714285714285714;0,0188679245283019;1;1;"Andinean_Forest";"R"
"68";"Creurgops_verticalis";0,0714285714285714;0,0769230769230769;1;1;"Andinean_Forest";"R"
"69";"Cyanocorax_cyanopogon";0,0588235294117647;0,0126582278481013;1;1;"Mata_Atlantica";"R"
"70";"Cyclarhis_gujanensis";0,0833333333333333;0,121256038647343;1;1;"Caatinga";"R"
