species;weighted.betweenness;weighted.closeness;biomes;Host_Status
Trichothraupis_melanops;0,0977671797095166;0,0171264907522106;Mata_Atlantica;R
Troglodytes_aedon;0,473131120133747;0,0330955580492733;Andinean_Forest;M
Troglodytes_aedon;0;0,0198544957099461;Caatinga;M
Troglodytes_aedon;0;0,00866612153493441;Mata_Atlantica;M
Trogon_curucui;0,0319748536743984;0,0159680860216497;Mata_Atlantica;R
Trogon_personatus;0;NA;Andinean_Forest;R
Turdus_amaurochalinus;0;0,00680910743173586;Amazonia;PM
Turdus_amaurochalinus;0;0,00231043727800464;Cerrado;PM
Turdus_amaurochalinus;0,0141990028181227;0,0140247903322394;Mata_Atlantica;PM
Turdus_flavipes;0,0230869282462606;0,0152221579832662;Mata_Atlantica;M
Turdus_fumigatus;0;0,00835241522521765;Amazonia;R
Turdus_hauxwelli;0;0,00777267094416727;Amazonia;R
Turdus_leucomelas;0,0659907200549923;0,00504674594413442;Cerrado;R
Turdus_leucomelas;0,229460221114242;0,0188444648980512;Mata_Atlantica;R
Turdus_leucops;0;0,0123224174850544;Andinean_Forest;R
Turdus_nigriceps;0;0,0147603971483401;Andinean_Forest;R
Turdus_rufiventris;0,00185701021355617;0,0150744517853487;Caatinga;R
Turdus_rufiventris;0;0,00486832339756356;Cerrado;R
Turdus_rufiventris;0;0,00626031477578942;Mata_Atlantica;R
Turdus_serranus;0;0,0072392434010661;Andinean_Forest;R
Turdus_subalaris;0;0,00137586434109832;Cerrado;PM
Tyrannus_melancholicus;0;0,0198544957099461;Caatinga;PM
Tyrannus_melancholicus;0;0,00317639237564657;Cerrado;PM
Tyrannus_melancholicus;0;0,0121801617379223;Mata_Atlantica;PM
Veniliornis_affinis;0;0,00682750069299026;Caatinga;R
Veniliornis_passerinus;0;0,00682750069299026;Caatinga;R
Vireo_olivaceus;0;0,00622025009208143;Andinean_Forest;M
Vireo_olivaceus;0;0,0125492233677967;Mata_Atlantica;M
Volatinia_jacarina;0,085422469823584;0,0254810774863546;Caatinga;R
Volatinia_jacarina;0,0147791716789826;0,0131177455788063;Cerrado;R
Willisornis_poecilinotus;0;0,00788234800004482;Amazonia;R
Willisornis_poecilinotus;0;NA;Andinean_Forest;R
Xiphorhynchus_elegans;0;0,00307662496159881;Amazonia;R
Xiphorhynchus_ocellatus;0;0,00581766934899536;Amazonia;R
Zonotrichia_capensis;0;0,0259443761422513;Andinean_Forest;R
Zonotrichia_capensis;0;0,0201227947553203;Caatinga;R
Zonotrichia_capensis;0,111703041759753;0,0159972782189009;Cerrado;R
Zonotrichia_capensis;0;0,0150771295840918;Mata_Atlantica;R
